trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999546021312976}",20,0,-195.14214542975876,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9999498278353163}",20,0,-110.32016355168939,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9999445514752772}",30,0,-133.5826403273143,"{0: 20, 1: 5, 2: 1, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9999387202603834}",20,0,-129.13524996015818,"{0: 9, 1: 0, 2: 10, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9999322758503802}",25,0,-180.4274422342694,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9999251537724894}",25,0,-162.5042779856918,"{0: 13, 1: 6, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9999172827771483}",25,0,-110.10730881162267,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9999085841261478}",25,0,-109.68334478043637,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9998989708060922}",30,0,-173.80547239168627,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9998883466593704}",25,0,-126.7970052968366,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9998766054240138}",20,2,-17.56565468672908,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.9998636296729205}",25,0,-215.2197841872111,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9998492896419402}",30,0,-263.984846327204,"{0: 13, 1: 5, 2: 7, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.9998334419352226}",25,0,-71.46187962723246,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9998159280950366}",25,0,-85.26185333970469,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9997965730219448}",25,0,-143.65646905023735,"{0: 12, 1: 1, 2: 10, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9997751832297667}",30,0,-160.51456704032833,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9997515449181607}",25,0,-153.0289314487916,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
