trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.40682395461306,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.28255231548495,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-8.480592814586705,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-216.12498745459308,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.85521319016445,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.36686678036975,"{0: 17, 1: 2, 2: 7, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.3169390739327,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.03204555355543,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.41616334061808,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.61380955344467,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.776678790629646,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-143.302215904577,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.15096904324836,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,9,-224.874986631241,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 3}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.93007317842154,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.22607845041253,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.19694550458306,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.07180840193541,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,12,-29.747861002291383,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-166.38297031034287,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 1.0}",30,0,-200.95055208491087,"{0: 13, 1: 7, 2: 6, 3: 2, 4: 2}",0
2,True,"{'a': 0, 'e': 1.0}",25,0,-170.87748746034165,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 1.0}",30,0,-187.15861287912404,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 1.0}",20,14,-1.71787529157096,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 1.0}",20,0,-27.550444482381163,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 1.0}",25,0,-156.292700159889,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 1.0}",25,0,-134.9957332315302,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 1.0}",25,0,-65.7970331583632,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 1.0}",20,0,-48.02435028150385,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 1.0}",25,0,-144.4453182069676,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
